Quinary Quadratic Forms of Discriminants 271 to 300

D=  271; GENUS#    1; MASS=      51/       8; HASSE SYMBOLS ARE  1 1          
   1   1   2   3   5   1   0   0   0   0   0   0   0   1   3;     48
   1   2   2   2   5   0   0   2   0   1   2   0   2   1   2;     32
   1   2   2   3   3   0   0   1   1   1   1   1   1  -2   0;      8
   2   2   2   3   3   2   1  -1   0   0   0   1   2   1   3;     32
D=  298; GENUS#    1; MASS=     925/     192; HASSE SYMBOLS ARE -1-1          
   1   1   1   1  38   0   0   0   1   1   0   0   0   1   1;    192
   1   1   1   2  25   1   1   0   1   0   0   0   0   0   1;     96
   1   1   1   4   6   0   0   0   1   1   1   0   0   1   0;     32
   1   1   1   4   8   1   0   0   1   0   1   0   1   0   2;     24
   1   1   1   5   6   1   0   0   0   0   0   0   1   1   3;     24
   1   1   1   5   6   1   0   0   1   0   0   0   1   1   1;     24
   1   1   1   5   8   1   1   0   0   0   0   1   0   0   1;     96
   1   1   1   6   8   1   1   0   1   0   0   1   0   0   5;     96
   1   1   2   2   6   0   0   0   0   0   1   1   1   0   2;     16
   1   1   2   2   7   0   1   1   0   0   0   0   0   2   1;     16
   1   1   2   2   7   0   1   1   0   0   0   0   1   0   2;     16
   1   1   2   2   7   0   1   1   0   0   1   0   0   1   1;     16
   1   1   2   2   8   0   0   0   0   1   2   1   1   0   0;     16
   1   1   2   2   8   0   1   1   1   0   0   1   1   0   0;      8
   1   1   2   2  10   0   0   0   1   1   2   0   0   1   2;     16
   1   1   2   3   4   0   0   0   0   0   1   1   1   1  -1;     16
   1   1   2   3   5   0   0   0   1   0   2   0   1   2   0;     16
   1   1   2   3   6   0   1   1   1   0   2   0   0   2   0;      8
   1   1   2   3   6   0   1   1   1   1   0   0   0   2  -1;     16
   1   1   2   3   6   1   1   0   0   0   1   0   0   2   2;     12
   1   1   2   3   6   1   1   0   0   0   1   0   1  -2   0;     12
   1   1   2   4   4   0   1   0   0   1   2   1   1   0  -1;      8
   1   1   2   4   4   0   1   1   0   0   1   1   1   1   2;     16
   1   1   2   4   4   0   1   1   1   0   0   1   1   1   2;      8
   1   1   2   4   5   1   1   0   1   0   0   0   0   1   3;     12
   1   2   2   2   4   0   0   2   1   0   0   1   0   1   0;      8
   1   2   2   2   4   1   0   1   0   0   1   0   2  -1   0;      4
   1   2   2   2   4   1   1   0   0   0   1   0   2  -1   0;      4
   1   2   2   2   5   1   0   1   1   1   2   0   1  -1   0;      4
   1   2   2   2   6   0   0   2   1   2   0   0   1   0   0;      8
   1   2   2   3   3   0   0   0   0   2   1   1   2   1   0;      8
   1   2   2   3   3   1   0   1   0  -1   1   1   0  -1   2;      4
   1   2   2   3   3   1   1   0   0   0   1   0   2   1   0;      4
   1   2   2   3   4   1   0   0   0   2   2   0   2   2   1;      8
   1   2   2   3   4   1   0   2   0   2   1   0   0   0   3;      4
   1   2   2   3   4   1   1   0   0   2   1   0   0   2   3;      4
   2   2   2   2   2   1   0   0   0   0   0   0   1   1   2;      4
   2   2   2   2   3   1   0   0   0   2   0   2   0   2   1;      4
   2   2   2   2   3   1   1   0   2   0   0   2   0  -1   0;      4
   2   2   2   2   3   2   1   0   0   0   2   0   1   1   2;      4
D=  298; GENUS#    2; MASS=   11101/    3840; HASSE SYMBOLS ARE  1 1          
   1   1   1   1  60   1   0   0   1   0   1   0   0   1   0;    240
   1   1   1   1  75   0   0   0   1   1   1   0   0   1   0;    768
   1   1   1   2  13   1   0   0   0   0   0   0   1   1   0;     48
   1   1   1   2  19   1   1   0   0   0   0   0   0   1   0;     96
   1   1   1   3  11   1   0   0   1   0   1   1   0   1   0;     24
   1   1   1   3  13   1   1   0   0   0   0   1   0   0   1;     96
   1   1   1   3  15   1   1   0   1   0   0   0   0   0   1;     96
   1   1   1   4  11   1   1   0   0   1   0   0   1   0   3;     48
   1   1   1   5   5   0   0   0   0   0   1   1   1   1   3;     32
   1   1   1   5   6   1   0   0   1   0   1   0   0   1   2;     24
   1   1   1   5   9   1   1   0   0   1   0   0   1   0   4;     48
   1   1   1   5   9   1   1   0   1   0   0   0   0   1   2;     48
   1   1   1   5   9   1   1   0   1   0   0   1   0   0   3;     96
   1   1   1   6   7   1   1   0   0   1   0   0   0   1   0;     48
   1   1   1   6   8   1   1   0   0   1   0   0   0   1   5;     48
   1   1   2   2   9   1   0   0   1   0   1   0   0   1  -2;     12
   1   1   2   2  11   1   1   0   0   1   1   0   1   0   1;     24
   1   1   2   3   4   0   0   0   0   1   0   1   0   0   2;     16
   1   1   2   3   4   0   0   0   1   1   0   0   1   0   0;     16
   1   1   2   3   5   0   1   0   0   1   2   0   0   0   1;      8
   1   1   2   3   5   0   1   0   1   0   0   0   1   0   3;      8
   1   1   2   3   5   1   0   0   0   0   1   0   1   0   2;     12
   1   1   2   3   5   1   0   0   1   0   0   0   1   0   0;     24
   1   1   2   3   6   1   0   0   1   0   0   0   0   2   3;     24
   1   1   2   3   6   1   0   0   1   1   1   0   0   2   3;     12
   1   1   2   3   6   1   1   0   0   1   0   0   0   0   2;     12
   1   1   2   3   7   1   1   0   1   1   2   0   1   0   0;     12
   1   1   2   4   4   1   0   0   0   0   0   0   1   0   3;     24
   1   1   2   4   4   1   0   0   0   0   0   0   1   2   1;     24
   1   1   3   3   3   0   0   0   0   0   1   1   1   1   2;     16
   1   1   3   3   4   1   1   0   0   1   0   0   0   1  -2;     12
   1   1   3   3   5   1   1   0   0   1   2   0   1   1   0;     12
   1   2   2   2   3   0   0   0   1   0   1   0   0   1   0;      8
   1   2   2   2   4   1   0   1   0  -1   1   1   0   1   1;      4
   1   2   2   3   3   0   0   2   0   2   1   1   0   1   1;      8
   1   2   2   3   3   1   0   1   0   2   0   0   2   1   1;      4
   1   2   2   3   4   0   0   2   1   2   0   0   0   1  -3;      8
   1   2   2   3   4   1   0   2   0   2   0   0   1   2   1;      8
   1   2   3   3   3   0   0   0   0   2   3   1   0   1   3;      8
   1   2   3   3   3   1   0   2   0   2   0   0   2   1  -1;      4
D=  299; GENUS#    1; MASS=     371/      96; HASSE SYMBOLS ARE  1-1-1        
   1   1   1   1  38   0   0   0   1   1   0   0   1   1   0;     96
   1   1   1   2  13   0   0   0   1   1   0   0   1   1   0;     16
   1   1   1   2  23   1   1   0   0   1   0   0   0   0   0;     96
   1   1   1   4   8   1   0   0   1   0   1   0   0   1   3;     24
   1   1   1   5   5   0   0   0   1   1   0   0   1   1   3;     32
   1   1   2   2   6   0   1   0   0   0   1   0   1   0   0;     16
   1   1   2   2   8   0   1   1   1   0   0   1   0   2   1;      8
   1   1   2   2  10   1   1   0   1   0   0   0   1   0   1;     12
   1   1   2   3   5   0   1   0   0   1   1   0   1   2   2;      8
   1   1   2   3   7   1   1   0   1   0   0   0   0   2  -3;     24
   1   1   2   4   4   1   0   0   0   0   1   0   1   1  -2;     12
   1   1   2   4   4   1   0   0   1   0   1   0   1  -1   0;     24
   1   1   2   4   5   1   1   0   0   1   0   0   1  -2   2;     12
   1   1   3   3   4   0   1   0   0   1   3   0   1   1   0;      8
   1   1   3   3   4   0   1   1   0   0   2   0   1   2  -2;     16
   1   2   2   2   3   0   0   0   1   0   1   0   1   0   0;      8
   1   2   2   2   4   0   0   0   1   1   1   0   1   2   2;      4
   1   2   2   2   4   0   0   0   1   1   1   1   1   2   1;      4
   1   2   2   2   4   1   0   1   0   1   1   1   0   0  -2;      4
   1   2   2   2   5   1   0   2   0   0   1   1   0   0  -2;      4
   1   2   2   2   5   1   0   2   0   1   0   0   0   1   2;      4
   1   2   2   3   3   0   0   2   1   1   1   1   0   1   2;      8
   1   2   2   3   3   1   0   1   0   0   0   1   0  -2   2;      8
   1   2   2   3   3   1   0   1   0   0   2   0   2   0  -1;      4
   1   2   2   3   3   1   0   1   0   0   2   1   0   0   2;      4
   1   2   2   3   3   1   0   1   0   2   0   1   0   0  -2;      4
   2   2   2   2   3   2   1   0   0   1   0   0   0   2  -2;      4
   2   2   2   3   3   2   1  -1   2   0   0   1   2   0   2;      4
D=  299; GENUS#    2; MASS=     187/      48; HASSE SYMBOLS ARE  1 1 1        
   1   1   1   2  18   1   0   0   1   0   1   1   0   0   0;     24
   1   1   1   3   8   0   0   0   1   1   0   0   1   1   0;     16
   1   1   1   4   6   0   0   0   1   1   0   0   1   1   2;     16
   1   1   1   5   6   1   0   0   1   0   1   1   0   0   0;     24
   1   1   1   7   7   1   1   0   0   0   0   0   0   1   6;     48
   1   1   2   2   6   0   0   0   0   1   0   1   1   1   0;      8
   1   1   2   2   8   1   0   0   1   0   0   1   0   1   0;     12
   1   1   2   3   5   0   1   0   0   0   2   0   1   1   2;      8
   1   1   2   3   5   0   1   0   1   1   0   0   1   1   2;      8
   1   1   2   3   5   0   1   1   0   1   0   1   0   0  -1;      8
   1   1   2   3   5   1   0   0   1   1   1   0   0   0   1;     12
   1   1   2   3   6   0   1   0   0   1   2   0   0   2  -1;      8
   1   1   2   3   6   1   1   0   0   1   0   0   1   0   1;     12
   1   1   2   4   5   1   1   0   0   1   1   0   0   2   1;     12
   1   1   2   4   5   1   1   0   1   1   2   1   0   0   0;     24
   1   1   2   5   5   1   1   0   0   1   1   0   0   2   5;     24
   1   2   2   2   3   0   0   0   0   1   0   1   0   1   1;      4
   1   2   2   2   4   0   0   2   0   1   1   1   0   1  -1;      4
   1   2   2   3   3   0   0   0   0   2   1   1   1   0   3;      4
   1   2   2   3   3   1   0   2   0   0   0   0   0   1   2;      4
   1   2   2   3   3   1   1   0   1   1   0   1   0  -1   0;      4
   1   2   2   3   4   1   0   2   0   0   2   0   0   1   3;      8
   1   2   3   3   3   0   0   1   1   2   3   0   2   2   0;      4
   2   2   2   2   3   1   1   0   1   1   2   2   0   2   0;      2
   2   2   2   2   3   1   1   1   1   2   2   0   0   2   0;      2
D=  300; GENUS#    1; MASS=    1625/    2304; HASSE SYMBOLS ARE -1-1 1        
   1   1   1   1  19   0   0   0   0   0   0   0   0   0   1;    192
   1   1   1   1  75   0   0   0   1   1   1   0   0   0   0;   2304
   1   1   1   2  13   1   0   0   0   0   0   0   0   0   2;     96
   1   1   1   3  13   1   1   0   0   0   0   1   0   0   0;    192
   1   1   1   4   5   0   0   0   0   0   0   0   0   1   1;     32
   1   1   1   4   6   0   0   0   0   0   0   1   1   1   3;     96
   1   1   2   2   9   1   0   0   0   0   2   0   0   0   2;    144
   1   1   2   3   4   0   0   0   0   0   0   0   0   1   3;     32
   1   1   2   3   5   0   1   0   1   0   0   0   0   1   3;      8
   1   1   2   4   5   1   0   0   1   0   2   1   0   2   0;     24
   1   1   3   3   4   0   1   1   1   1   1   0   0   1   3;     16
   1   2   2   3   3   0   0   2   0   0   0   0   0   1   3;     16
   1   2   2   3   3   0   0   2   0   0   0   1   0   2   0;     48
   1   2   2   3   3   1   0   0   0   2   0   1   0   2   0;      8
   2   2   2   2   3   1   1   1   2   0   0   0   1   1   2;      8
   2   2   2   2   4   1   0   0   2   2   2   1   1   0   0;     24
D=  300; GENUS#    2; MASS=     125/     192; HASSE SYMBOLS ARE -1-1 1        
   1   1   1   1  25   0   0   0   1   0   0   0   0   0   0;    192
   1   1   1   2  11   0   0   0   1   0   0   1   0   0   0;     32
   1   1   1   3   7   0   0   0   0   0   0   0   0   0   3;    192
   1   1   1   3   7   0   0   0   0   0   0   1   1   1   0;    192
   1   1   1   4   7   0   0   0   1   1   1   0   0   0   4;     96
   1   1   1   4  11   1   1   0   1   0   0   0   0   0   2;     96
   1   1   2   3   4   0   0   0   0   1   0   0   0   2   1;     16
   1   1   2   3   5   1   0   0   0   0   0   0   0   2   2;     48
   1   1   2   3   5   1   0   0   0   0   0   0   1   2   0;     48
   1   1   2   4   5   1   0   0   1   0   0   0   0   2   4;     24
   1   2   2   2   3   0   0   1   0   1   1   0   0   1   1;      8
   1   2   2   2   5   0   0   2   0   1   2   0   0   2   0;     16
   1   2   2   2   6   0   0   2   1   2   0   0   0   0   1;     24
   1   2   2   3   4   0   0   2   1   2   0   1   2   0   1;     24
   1   2   2   3   4   1   0   2   0   2   0   1   0   0  -2;      8
   2   2   2   3   3   2   2   0   0   0   0   2   0   1   3;     24
D=  300; GENUS#    3; MASS=     325/     144; HASSE SYMBOLS ARE  1 1 1        
   1   1   1   1  34   1   0   0   0   0   1   0   1   0   1;    144
   1   1   1   4   8   1   0   0   1   0   1   1   0   1   0;     24
   1   1   2   2   8   0   1   1   1   0   0   0   0   2   0;      8
   1   1   2   2   9   0   1   1   1   1   1   0   1   0   2;     16
   1   1   2   3   4   0   0   0   0   1   1   1   0   1   1;      8
   1   1   2   4   4   0   1   0   0   0   2   0   1   2   2;      8
   1   1   2   4   4   0   1   1   0   0   0   0   1   2   2;     16
   1   1   2   4   4   0   1   1   1   0   0   0   1   2   0;      8
   1   1   3   3   4   0   1   0   0   0   2   0   1   3   3;      8
   1   1   3   3   4   1   1   0   0   0   2   1   0   0  -1;     12
   1   2   2   2   4   1   1   0   0   0   1   0   0   2   0;      4
   1   2   2   3   3   1   0   0   0   0   1   0   2   1  -2;      4
   1   2   2   3   4   1   1   0   0   2   0   0   0   2   3;      4
   2   2   2   2   2   1   0   0   0   0   1   0   1   0   2;      2
   2   2   2   2   4   2   1  -1   0   0   2   2   1   0   1;      8
D=  300; GENUS#    4; MASS=      25/      16; HASSE SYMBOLS ARE  1 1 1        
   1   1   1   1  38   0   0   0   1   1   0   0   0   0   1;    192
   1   1   1   2  10   0   0   0   0   0   0   0   1   1   1;     32
   1   1   1   2  25   1   1   0   1   0   0   0   0   0   0;    192
   1   1   1   6   6   1   0   0   0   0   0   0   1   0   6;     48
   1   1   2   2   7   0   0   0   0   0   2   0   1   1   2;     32
   1   1   2   2  10   1   1   0   1   0   0   0   0   0   2;     12
   1   1   2   3   5   0   1   0   0   0   2   1   0   0  -2;      8
   1   1   2   3   5   0   1   1   0   0   0   1   1   1   2;     32
   1   1   2   3   5   0   1   1   0   0   1   1   1   1   1;     16
   1   1   2   3   7   1   1   0   0   1   1   0   0   2   2;     12
   1   1   2   4   5   1   1   0   0   1   1   1   0   0   1;     12
   1   2   2   2   5   1   1   0   0   0   2   0   2   0   0;      8
   1   2   2   3   3   0   0   0   0   2   1   0   2   2   1;      8
   1   2   2   3   3   0   0   0   0   2   2   1   0   1   2;      8
   1   2   2   3   3   1   0   1   0   0   2   0   0   2   0;      8
   1   2   2   3   3   1   0   1   0   0   2   1   0   1   2;      4
   1   2   2   3   4   1   0   2   0   0   2   0   0   2   2;      8
   2   2   2   2   3   2   1  -1   0   0   1   0   0   2   0;      8
D=  300; GENUS#    5; MASS=      13/      40; HASSE SYMBOLS ARE  1 1 1        
   1   1   1   1  60   1   0   0   1   0   1   0   0   0   0;    480
   1   1   1   3  16   1   1   0   1   0   0   0   0   1   2;     96
   1   1   1   4   7   1   0   0   0   0   1   0   1   0   0;     48
   1   1   2   3   5   0   1   0   0   0   1   1   1   0  -3;     16
   1   1   3   3   4   1   1   0   0   1   1   0   0   1  -1;     24
   1   2   2   3   3   1   0   1   1   2   0   0   2   1   1;      8
   2   2   2   2   3   1   1  -1  -1   1   1   0   0   1   2;     16
D=  300; GENUS#    6; MASS=     325/     192; HASSE SYMBOLS ARE  1 1 1        
   1   1   1   2  13   0   0   0   1   1   0   1   1   0   1;     64
   1   1   1   3   9   1   0   0   0   0   0   0   1   0   2;     24
   1   1   1   4   6   0   0   0   1   1   0   0   0   0   3;     32
   1   1   1   6   7   1   1   0   1   0   0   0   0   0   2;     96
   1   1   2   2   6   0   0   0   0   1   0   0   0   2   1;     16
   1   1   2   2   7   0   1   1   0   0   1   0   0   1   0;     16
   1   1   2   2   9   0   1   1   1   1   1   0   0   0   2;     32
   1   1   2   3   4   0   0   0   0   1   1   0   1   1   0;      8
   1   1   3   3   3   0   0   0   0   0   0   0   1   2   2;     16
   1   1   3   3   3   0   0   0   0   0   0   1   1   1   2;     16
   1   1   3   3   4   1   1   0   0   0   2   0   0   2   0;     12
   1   1   3   3   4   1   1   0   1   0   0   1   0   0   0;     24
   1   2   2   2   4   0   0   0   0   2   0   1   1   1   2;     16
   1   2   2   2   4   0   0   0   1   0   1   0   2   0   2;      8
   1   2   2   2   4   0   0   0   1   1   1   0   0   2   2;      4
   1   2   2   3   3   1   1   0   0   0   0   0   0   2   2;      4
   1   2   3   3   3   1   0   2   0   0   2   0   2   0   2;      8
   2   2   2   2   3   1   0   0   1   0   2   0   2   2   0;      4
D=  300; GENUS#    7; MASS=      13/     144; HASSE SYMBOLS ARE -1 1-1        
   1   1   1   2  15   0   0   0   1   1   1   0   0   0   0;    192
   1   1   1   4   5   0   0   0   1   0   0   0   0   0   0;     64
   1   1   1   5   5   0   0   0   0   0   0   0   0   0   5;    576
   1   1   2   3   5   0   1   1   1   1   1   0   0   0   0;     64
   1   1   3   3   4   0   1   0   1   0   0   0   0   3  -3;     32
   1   1   3   4   4   1   0   0   1   1   2   0   1  -2   3;     72
   2   2   2   2   2   1   0   0   0   0   2   1  -1   0   0;    144
D=  300; GENUS#    8; MASS=      13/      32; HASSE SYMBOLS ARE  1 1 1        
   1   1   1   2  15   1   0   0   1   0   0   0   0   0   0;     48
   1   1   1   3  15   1   1   0   1   0   0   0   0   0   0;    192
   1   1   2   3   4   0   0   0   0   0   2   0   1   0   0;     32
